AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,Total Suspensions,Unduplicated Count of Students Suspended (Total),Unduplicated Count of Students Suspended (Defiance-Only),Suspension Rate (Total),Suspension Count Violent Incident (Injury),Suspension Count Violent Incident (No Injury),Suspension Count Weapons Possession,Suspension Count Illicit Drug-Related,Suspension Count Defiance-Only,Suspension Count Other Reasons
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,SE,3841,253,162,3,4.2,2,186,5,47,4,9
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,SF,107,6,4,0,3.7,0,6,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,SH,3517,249,155,4,4.4,4,176,12,46,5,6
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,SM,14,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,SS,15278,753,478,10,3.1,24,577,20,94,11,27
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,TA,41368,1222,783,16,1.9,66,926,32,135,17,46
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,GF,4218,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,GM,4181,25,19,0,0.5,6,14,2,1,0,2
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,GX,52,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,RA,582,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,RB,758,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,RD,124,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,RF,143,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,RH,2844,1,1,0,0.0,1,0,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,RI,44,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,RP,24,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,RT,950,3,1,0,0.1,0,2,1,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,RW,2982,21,17,0,0.6,5,12,1,1,0,2
