AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterSchool,DASS,ReportingCategory,CohortStudents,Regular HS Diploma Graduates (Count),Regular HS Diploma Graduates (Rate),Met UC/CSU Grad Req's (Count),Met UC/CSU Grad Req's (Rate),Seal of Biliteracy (Count),Seal of Biliteracy (Rate),Golden State Seal Merit Diploma (Count),Golden State Seal Merit Diploma (Rate,Graduates Meeting Local Requirements Exemption (Count),Graduates Meeting Local Requirements Exemption (Rate),CPP Completer (Count),CPP Completer (Rate),Adult Ed. HS Diploma (Count),Adult Ed. HS Diploma (Rate),SPED Certificate (Count),SPED Certificate (Rate),GED Completer (Count),GED Completer (Rate),Other Transfer (Count),Other Transfer (Rate),Dropout (Count),Dropout (Rate),Still Enrolled (Count),Still Enrolled (Rate)
2024-25,C,30,,,Orange,"","",Yes,Yes,RW,79,35,44.3,13,37.1,0,0.0,2,5.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,3.8,17,21.5,24,30.4
2024-25,C,30,,,Orange,"","",Yes,Yes,SD,65,22,33.8,1,4.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,23.1,28,43.1
2024-25,C,30,,,Orange,"","",Yes,Yes,SE,58,17,29.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,20.7,29,50.0
2024-25,C,30,,,Orange,"","",Yes,Yes,SF,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2024-25,C,30,,,Orange,"","",Yes,Yes,SH,61,10,16.4,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,32.8,31,50.8
2024-25,C,30,,,Orange,"","",Yes,Yes,SS,228,86,37.7,14,16.3,1,1.2,2,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.9,41,18.0,99,43.4
2024-25,C,30,,,Orange,"","",Yes,Yes,TA,271,106,39.1,24,22.6,1,0.9,3,2.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.1,53,19.6,109,40.2
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,GF,864,643,74.4,367,57.1,200,31.1,276,42.9,31,4.8,0,0.0,0,0.0,2,0.2,6,0.7,11,1.3,93,10.8,109,12.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,GM,948,583,61.5,236,40.5,91,15.6,158,27.1,55,9.4,0,0.0,0,0.0,1,0.1,8,0.8,20,2.1,180,19.0,156,16.5
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,GX,12,5,41.7,3,60.0,1,20.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,16.7,3,25.0,2,16.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RA,187,164,87.7,136,82.9,77,47.0,131,79.9,1,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,8.0,8,4.3
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RB,59,31,52.5,8,25.8,0,0.0,2,6.5,2,6.5,0,0.0,0,0.0,0,0.0,1,1.7,3,5.1,17,28.8,7,11.9
