Academic Year,Aggregate Level,County Code,District Code,School Code,County Name,District Name,School Name,Charter School,DASS,Reporting Category,ChronicAbsenteeismEligibleCumulativeEnrollment,ChronicAbsenteeismCount,ChronicAbsenteeismRate
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,RH,417,121,29.0
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,RI,*,*,*
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,RP,*,*,*
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,RT,13,3,23.1
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,RW,42,8,19.0
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,SD,94,30,31.9
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,SE,173,50,28.9
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,SF,*,*,*
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,SH,*,*,*
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,SS,458,144,31.4
