cds,county,district,school,el_count,reclass_count,year,reclass_rate,org_level_num,county_code,district_code,school_code,charter_num,dass_num
30664316058895,Orange,Anaheim Union High,Sycamore Junior High,406,80,25,0.197044334975369,4,30,66431,6058895,0,0
30664316058903,Orange,Anaheim Union High,Walker Junior High,97,25,19,0.257731958762887,4,30,66431,6058903,,
30664316058903,Orange,Anaheim Union High,Walker Junior High,101,30,20,0.297029702970297,4,30,66431,6058903,,
30664316058903,Orange,Anaheim Union High,Walker Junior High,100,10,21,0.1,4,30,66431,6058903,,
30664316058903,Orange,Anaheim Union High,Walker Junior High,86,41,25,0.476744186046512,4,30,66431,6058903,0,0
30664316061683,Orange,Anaheim Union High,Ball Junior High,311,47,19,0.15112540192926,4,30,66431,6061683,,
30664316061683,Orange,Anaheim Union High,Ball Junior High,287,62,20,0.21602787456446,4,30,66431,6061683,,
30664316061683,Orange,Anaheim Union High,Ball Junior High,305,12,21,0.039344262295082,4,30,66431,6061683,,
30664316061683,Orange,Anaheim Union High,Ball Junior High,253,61,25,0.241106719367589,4,30,66431,6061683,0,0
30664316066815,Orange,Anaheim Union High,Hope,104,3,19,0.0288461538461538,4,30,66431,6066815,,
30664316066815,Orange,Anaheim Union High,Hope,99,4,20,0.0404040404040404,4,30,66431,6066815,,
30664316066815,Orange,Anaheim Union High,Hope,94,3,21,0.0319148936170213,4,30,66431,6066815,,
30664316066815,Orange,Anaheim Union High,Hope,24,20,25,0.833333333333333,4,30,66431,6066815,0,1
30664316085260,Orange,Anaheim Union High,Lexington Junior High,112,15,19,0.133928571428571,4,30,66431,6085260,,
30664316085260,Orange,Anaheim Union High,Lexington Junior High,93,42,20,0.451612903225806,4,30,66431,6085260,,
30664316085260,Orange,Anaheim Union High,Lexington Junior High,108,18,21,0.166666666666667,4,30,66431,6085260,,
30664316085260,Orange,Anaheim Union High,Lexington Junior High,79,29,25,0.367088607594937,4,30,66431,6085260,0,0
30664490140350,Orange,Brea-Olinda Unified,BOUSD Online Academy,11,0,21,0,4,30,66449,0140350,,
30664490140350,Orange,Brea-Olinda Unified,Brea Online Academy,1,0,25,0,4,30,66449,0140350,0,0
30664493030624,Orange,Brea-Olinda Unified,Brea Canyon High (Continuation),7,6,19,0.857142857142857,4,30,66449,3030624,,
